SamAccountName; City; StreetAddress; physicalDeliveryOfficeName; info; Company; PostalCode
kir1; Киров; ул.Пролетарская д. 15;" ТЦ ""Максимум"""; этаж 2 ;" АО ""Одежда 3000"""; 
stk1; Сыктывкар (респ.Коми); Октябрьский пр.  д. 131/3;" ТЦ ""Июнь"""; этаж 1;" АО ""Одежда 3000"""; 
tum3; Тюмень; ул. М. Горького  д. 42;" ТЦ ""Магеллан"""; ;" АО ""Одежда 3000"""; 
stt1; Стерлитамак; ул. Артема д.96;" ТЦ ""Арбат"""; ;" АО ""Одежда 3000"""; 
dzr1; Дзержинск; ул. Петрищева д. 4;" ТЦ ""Рояль"""; этаж  5;" АО ""Одежда 3000"""; 
ekb7; Екатеринбург; ул. Сулимова д. 50;" ТРЦ ""ПаркХаус"""; этаж 2 ;" АО ""Одежда 3000"""; 
vol5; Волгоград ; 30 Лет Победы бульвар  д. 21 ;" ТЦ ""Парк Хаус"""; этаж 2;" АО ""Одежда 3000""";400137
oms1; Омск; ул. 70 лет Октября д. 19;" ТЦ ""Фестиваль Сити"""; этаж 3;" АО ""Одежда 3000""";644074
arm1; Армавир; ул. Воровского д. 69;" ТЦ ""Красная площадь"""; этаж 2;" АО ""Одежда 3000""";352900
sp12; Санкт-петербург; Петергофское шоссе д. 51  литера А; ТРЦ «Жемчужная плаза»; ;" АО ""Одежда 3000"""; 
sp13; Санкт-Петербург; ул. Коллонтай д. 3б;" ТЦ ""Лондон Молл"""; этаж 3;" АО ""Одежда 3000"""; 
tul2; Тула; ул. Путейская д. 5;" ТЦ ""Сарафан"""; этаж 3;" АО ""Одежда 3000"""; 
nkm1; Нижнекамск; ул. Менделеева д. 31а;" ТЦ ""Барс"""; этаж 2;" АО ""Одежда 3000""";423584
tgn1; Таганрог; Площадь мира д. 7;" ТЦ ""Мармелад"""; этаж 2;" АО ""Одежда 3000"""; 
vng1; Великий Новгород ; ул. Большая Санкт-Петербургская д.39; ТЦ «Волна»; ;" АО ""Одежда 3000""";173003
sp14; Санкт-Петербург; Заневский проспект д.71 к 2 ; ТЦ Заневский Каскад; этаж 3;" АО ""Одежда 3000"""; 
nkz2; Нокузнецк; ул. Кирова д. 55; ТЦ Сити Молл ; этаж 4;" АО ""Одежда 3000"""; 
nal1; Нальчик; ул. Кирова д. 1;" ТЦ ""Галерея"""; ;" АО ""Одежда 3000"""; 
vlz1; Волжский; бульвар Профсоюзов д. 1Б;" ТЦ ""Планета Лето"""; этаж 2;" АО ""Одежда 3000"""; 
mgn2; Магнитогорск  ; пр.Ленина д. 83;" БУМ ""Континент"""; этаж 2;" АО ""Одежда 3000"""; 
tol5; Тольятти; Автозаводское шоссе д. 6;" ТЦ ""Парк Хаус"""; этаж 2 ;" АО ""Одежда 3000""";445004
brl1; Барнаул; Космонавтов д. 6В; ТЦ Алтай; этаж 1;" АО ""Одежда 3000"""; 
tvr2; Тверь; Октябрьский проспект д. 103;" ТЦ ""Октябрьский"""; ;" АО ""Одежда 3000"""; 
kli1; Клин; ул. Карла Маркса д. 4;" ТЦ ""Дарья"""; этаж 3 ;" АО ""Одежда 3000"""; 
ngk1; г Ногинск; ул. Соборная д. 12;" ТЦ ""На Соборной"" "; ;" АО ""Одежда 3000"""; 
tam3; Тамбов; ул. Советская д. 99А;" ТЦ ""РИО"""; ;" АО ""Одежда 3000"""; 
pnz2; Пенза; ул.Центральная д. 1;" ТЦ ""Ритэйл Парк"""; этаж 2;" АО ""Одежда 3000"""; 
ufa3; Уфа; ул. Кольцевая д. 65; ТЦ Меркурий; этаж 2;" АО ""Одежда 3000""";450112
ufa4; Уфа; ул. Минигали Губайдуллина д. 6; ТЦ  Аркада; этаж 2;" АО ""Одежда 3000""";450022
per2; Пермь; ул. Мира д. 41 к.1;" ТЦ ""Столица"""; этаж 1;" АО ""Одежда 3000"""; 
ksn3; Красноярск; ул. Телевизорная д. 1  стр. 4 ; ТЦ Торговый квартал; ;" АО ""Одежда 3000"""; 
arz1; Арзамас; ул. Калинина д. 46;" ТЦ ""Омега"""; ;" АО ""Одежда 3000""";607220
srg1; Сургут; Югорский тракт д. 38;" ТЦ ""Сити Молл"""; ;" АО ""Одежда 3000"""; 
mos7; Москва; Ходынский бульвар д. 4; ТЦ Авиапарк; ;" АО ""Одежда 3000"""; 
sml2; Смоленск; ул. 25 Сентября д. 35;" ТЦ ""Макси"""; ;" АО ""Одежда 3000"""; 
mos8; Москва; ул. Кировоградская д. 13\A; ТЦ Колумбус; ;" АО ""Одежда 3000"""; 
krs3; Курск; ул. Карла Маркса  д. 10;" ТК ""Европа"""; ;" АО ""Одежда 3000"""; 
krn1; Курган; ул. Тимофея Невежина д. 3 стр 10; ТЦ РИО; этаж 1 секция 96;" АО ""Одежда 3000"""; 
