"Name","DistinguishedName","OperatingSystem","OperatingSystemServicePack","OperatingSystemVersion"
"MOS2-KASS-WW-03","CN=MOS2-KASS-WW-03,OU=Moscow2,OU=Moskva - 2,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-60","CN=CO-IT-WN-60,OU=wsus_test,OU=Service_groups,OU=AllDomainGroups,DC=domain,DC=local","Windows 8.1 Корпоративная",,"6.3 (9600)"
"LIP1-KLAD-WW-01","CN=LIP1-KLAD-WW-01,OU=Lipetsk1,OU=Chernozeme,OU=Moskva-Tsentr,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SP12-KLAD-WW-01","CN=SP12-KLAD-WW-01,OU=Saint_Peterburg12,OU=Sankt-Peterburg-2,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-EX10-MB02","CN=DC-EX10-MB02,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"DC-EX10-MB01","CN=DC-EX10-MB01,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Enterprise","Service Pack 1","6.1 (7601)"
"DC-EX10-MBA","CN=DC-EX10-MBA,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"DC-EX10-MBA01","CN=DC-EX10-MBA01,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"SHER-LOG-WW-01","CN=SHER-LOG-WW-01,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"NKM1-VID-WW-01","CN=NKM1-VID-WW-01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-VIP02","CN=DC-VIP02,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"mgn2-klad-ww-01","CN=mgn2-klad-ww-01,OU=Magnitogorsk2,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows XP Professional","Service Pack 3","5.1 (2600)"
"CO-WDS","CN=CO-WDS,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"STA1-MAN-WW-01","CN=STA1-MAN-WW-01,OU=Stavropol1,OU=Iug-3,OU=Iug,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows XP Professional","Service Pack 3","5.1 (2600)"
"CO-BUH-WW-59","CN=CO-BUH-WW-59,OU=Computers_BUH,OU=Accounting,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local",,,
"CO-BUH-WW-49","CN=CO-BUH-WW-49,OU=Computers_BUH,OU=Accounting,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-FIN-WW-17","CN=CO-FIN-WW-17,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-FIN-WN-04","CN=CO-FIN-WN-04,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-ADM-WN-14","CN=CO-ADM-WN-14,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 8.1 Корпоративная",,"6.3 (9600)"
"CO-ADM-WN-13","CN=CO-ADM-WN-13,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Professional","Service Pack 1","6.1 (7601)"
"CO-RAZ-WW-25","CN=CO-RAZ-WW-25,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-RAZ-WW-08","CN=CO-RAZ-WW-08,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-HR-WW-06","CN=CO-HR-WW-06,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-LOG-WW-13","CN=CO-LOG-WW-13,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-LOG-WN-07","CN=CO-LOG-WN-07,OU=Computers_LOG,OU=Logistics,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"co-test-001","CN=co-test-001,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local",,,
"co-it-ww-999","CN=co-it-ww-999,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local",,,
"CO-IT-WN-46","CN=CO-IT-WN-46,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-42","CN=CO-IT-WN-42,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 8.1 Профессиональная",,"6.3 (9600)"
"CO-IT-TV-01","CN=CO-IT-TV-01,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local",,,
"CO-COM-WW-98","CN=CO-COM-WW-98,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-60","CN=CO-COM-WW-60,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-24","CN=CO-COM-WW-24,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-174","CN=CO-COM-WW-174,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-172","CN=CO-COM-WW-172,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-168","CN=CO-COM-WW-168,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-136","CN=CO-COM-WW-136,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-104","CN=CO-COM-WW-104,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-09","CN=CO-COM-WW-09,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-62","CN=CO-COM-WN-62,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-20","CN=CO-COM-WN-20,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-02","CN=CO-BUH-WW-02,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-ADM-WN-70","CN=CO-ADM-WN-70,OU=Computers_ADM,OU=Administration_support,OU=Office,OU=Fashion3000,DC=domain,DC=local",,,
"test02","CN=test02,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local",,,
"gw","CN=gw,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local",,,
"DC-PRIME01","CN=DC-PRIME01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","unknown","Likewise Open 6.1.0.8729.62048","unknown"
"DC-ORA-TEST03","CN=DC-ORA-TEST03,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"DMZ-TS01","CN=DMZ-TS01,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2012 Standard",,"6.2 (9200)"
"EXT-DEV-PI","CN=EXT-DEV-PI,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CO-COM-WW-29","CN=CO-COM-WW-29,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-06","CN=CO-IT-WN-06,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-21","CN=CO-BUH-WW-21,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-29","CN=CO-BUH-WW-29,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"REG-SAL-WW-15","CN=REG-SAL-WW-15,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"REG-SAL-WN-19","CN=REG-SAL-WN-19,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-82","CN=CO-COM-WW-82,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-35","CN=CO-IT-WW-35,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BKP02","CN=CO-BKP02,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"CO-COM-WW-79","CN=CO-COM-WW-79,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-47","CN=CO-IT-WN-47,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-144","CN=CO-COM-WW-144,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 8.1 Профессиональная",,"6.3 (9600)"
"CO-BKP03","CN=CO-BKP03,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"REG-SAL-WN-10","CN=REG-SAL-WN-10,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"man","CN=man,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local",,,
"CO-COM-WN-28","CN=CO-COM-WN-28,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-HR-WN-01","CN=CO-HR-WN-01,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VLG2-MAN-WW-01","CN=VLG2-MAN-WW-01,OU=Vologda2,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KEM1-MER-WN-01","CN=KEM1-MER-WN-01,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"UFA3-DIR-WW-01","CN=UFA3-DIR-WW-01,OU=Ufa3,OU=Ural -1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-10","CN=CO-BUH-WW-10,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-37","CN=CO-IT-WW-37,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-18","CN=CO-IT-WN-18,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-68","CN=CO-BUH-WW-68,OU=Computers_BUH,OU=Accounting,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-06","CN=CO-COM-WN-06,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-127","CN=CO-COM-WW-127,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-HR-WW-20","CN=CO-HR-WW-20,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-97","CN=CO-COM-WW-97,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-17","CN=CO-IT-WN-17,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"arz1-klad-ww-01","CN=arz1-klad-ww-01,OU=Arzamas1,OU=Tsentr - Vostok,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows XP Professional","Service Pack 3","5.1 (2600)"
"CO-COM-WW-147","CN=CO-COM-WW-147,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-23","CN=CO-IT-WW-23,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-ADM-WN-15","CN=CO-ADM-WN-15,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-78","CN=CO-COM-WW-78,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-FIN-WW-11","CN=CO-FIN-WW-11,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 8.1 Профессиональная",,"6.3 (9600)"
"CO-RAZ-WW-14","CN=CO-RAZ-WW-14,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-26","CN=CO-COM-WW-26,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-RAZ-WW-15","CN=CO-RAZ-WW-15,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-32","CN=CO-IT-WW-32,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-ADM-WN-04","CN=CO-ADM-WN-04,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-54","CN=CO-COM-WW-54,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-107","CN=CO-COM-WW-107,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-RAZ-WW-03","CN=CO-RAZ-WW-03,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-12","CN=CO-BUH-WW-12,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-ADM-WN-10","CN=CO-ADM-WN-10,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 8.1 Профессиональная",,"6.3 (9600)"
"CO-COM-WN-17","CN=CO-COM-WN-17,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC02-SAP-PSB","CN=DC02-SAP-PSB,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"CO-COM-WW-19","CN=CO-COM-WW-19,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-12","CN=CO-IT-WN-12,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"co-adm-wn-09","CN=co-adm-wn-09,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Mac OS X",,"10.11.3"
"CO-BUH-WW-09","CN=CO-BUH-WW-09,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WN-03","CN=CO-COM-WN-03,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"YAR2-VID-WW-02","CN=YAR2-VID-WW-02,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-TESST","CN=CO-IT-WW-TESST,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 10 Pro",,"10.0 (10240)"
"CO-RAZ-WW-24","CN=CO-RAZ-WW-24,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"ORL1-VID-WW-02","CN=ORL1-VID-WW-02,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"REG-SAL-WN-06","CN=REG-SAL-WN-06,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"mos8-vid-ww-02","CN=mos8-vid-ww-02,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VOR3-KASS-WW-01","CN=VOR3-KASS-WW-01,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows XP Professional","Service Pack 3","5.1 (2600)"
"CO-COM-WW-123","CN=CO-COM-WW-123,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"KIR1-KLAD-WW-01","CN=KIR1-KLAD-WW-01,OU=Kirov1,OU=Tsentr - Vostok,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows XP Professional","Service Pack 3","5.1 (2600)"
"YAR2-MAN-WW-01","CN=YAR2-MAN-WW-01,OU=Yaroslavl2,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows XP Professional","Service Pack 3","5.1 (2600)"
"CO-ADM-WW-10","CN=CO-ADM-WW-10,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"SAR2-KLAD-WW-01","CN=SAR2-KLAD-WW-01,OU=Saratov2,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"MOS8-VID-WW-01","CN=MOS8-VID-WW-01,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"VLG2-KLAD-WW-01","CN=VLG2-KLAD-WW-01,OU=Vologda2,OU=Tsentr-Sever,OU=Sankt-Peterburg - Tsentr - Sever,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"DC-SAP-FSM","CN=DC-SAP-FSM,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows Server 2008 R2 Standard","Service Pack 1","6.1 (7601)"
"KRN1-KLAD-WW-01","CN=KRN1-KLAD-WW-01,OU=Kurgan1,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CHE1-MAN-WW-01","CN=CHE1-MAN-WW-01,OU=Chelyabinsk1,OU=Ural-2,OU=Sibir - Ural,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"REG-SAL-WN-32","CN=REG-SAL-WN-32,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"MOS7-VID-WW-01","CN=MOS7-VID-WW-01,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-51","CN=CO-IT-WW-51,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-34","CN=CO-IT-WN-34,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 10 Pro",,"10.0 (10586)"
"DC-SCCM01","CN=DC-SCCM01,OU=M1 Servers,OU=Member servers,DC=domain,DC=local","Windows Server 2012 R2 Standard",,"6.3 (9600)"
"CO-IT-WN-07","CN=CO-IT-WN-07,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-39","CN=CO-IT-WN-39,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 8.1 Профессиональная",,"6.3 (9600)"
"PNZ2-KLAD-WW-01","CN=PNZ2-KLAD-WW-01,OU=Penza2,OU=Povolzhe-1,OU=Volga,OU=Stores,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-84","CN=CO-IT-WW-84,OU=wsus_test,OU=Service_groups,OU=AllDomainGroups,DC=domain,DC=local","Windows 8.1 Профессиональная",,"6.3 (9600)"
"CO-IT-WSUS7-32","CN=CO-IT-WSUS7-32,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-25","CN=CO-IT-WW-25,OU=wsus_test,OU=Service_groups,OU=AllDomainGroups,DC=domain,DC=local","Windows 10 Pro (Registered Trademark)",,"10.0 (14393)"
"CO-IT-WW-62","CN=CO-IT-WW-62,OU=wsus_test,OU=Service_groups,OU=AllDomainGroups,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-HR-WN-04","CN=CO-HR-WN-04,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-ADM-WN-22","CN=CO-ADM-WN-22,OU=Computers_ADM,OU=Administration_support,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-BUH-WW-60","CN=CO-BUH-WW-60,OU=Computers_BUH,OU=Accounting,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-99","CN=CO-COM-WW-99,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-142","CN=CO-COM-WW-142,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-40","CN=CO-COM-WW-40,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-91","CN=CO-COM-WW-91,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-139","CN=CO-COM-WW-139,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-FIN-WW-12","CN=CO-FIN-WW-12,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-68","CN=CO-COM-WW-68,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-AUD-WN-18","CN=CO-AUD-WN-18,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 8.1 Профессиональная",,"6.3 (9600)"
"CO-HR-WW-01","CN=CO-HR-WW-01,OU=Computers_HR,OU=Human Resources,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-JUR-WN-12","CN=CO-JUR-WN-12,OU=Computers_JUR,OU=Juridical,OU=Financial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-COM-WW-65","CN=CO-COM-WW-65,OU=Computers_COM,OU=Commercial,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WW-11","CN=CO-IT-WW-11,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-MAR-WW-07","CN=CO-MAR-WW-07,OU=Permanently disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-IT-WN-44","CN=CO-IT-WN-44,OU=Computers_IT,OU=Informational Technologies,OU=Office,OU=Fashion3000,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
"CO-ADM-WW-05","CN=CO-ADM-WW-05,OU=Temporarily disabled,OU=Disabled Computers,DC=domain,DC=local","Windows 7 Профессиональная","Service Pack 1","6.1 (7601)"
